objectid,filename,source,title,date,date is approximate?,creator,description,subject,location,latitude,longitude,identifier,findingaidtitle,findingaid,type,format,language,rights,rightsstatement,youtubeid,blogtitle,blogposts
lumber011,8-a046004.jpg,"Barnard-Stockbridge photograph collection, PG 8-2, University of Idaho Library Special Collections and Archives",Mr. Cassidy picnic party,1920,yes,Nellie Stockbridge,Two couples posed atop log over hanging rushing river,women;rivers;group portraits;picnics;,,,,PG 8-a046004,Barnard-Stockbridge photograph collection,https://www.lib.uidaho.edu/digital/barstock/,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,
lumber012,8-b216-52.jpg,"Barnard-Stockbridge photograph collection, PG 8-2, University of Idaho Library Special Collections and Archives",Mullan 49'er parade,1939,,Nellie Stockbridge,"Mullan 49'er parade, Mullan, Idaho. Motorcycle hillclimb.",motorcycles;,"Mullan, Idaho",47.474425,-115.794903,PG 8-B216-52,Barnard-Stockbridge photograph collection,https://www.lib.uidaho.edu/digital/barstock/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber013,https://www.lib.uidaho.edu/media/spec/blog/97245580838_0.jpg,"Kyle Laughlin photograph collection, PG 99, University of Idaho Library Special Collections and Archives",Indian Post Office Site in the Clearwater Mountains,undated,,,Two Rock Cairns Piled as means of communication.,indigenous people;rocks;mountains;,,46.54616,-114.987607,PG 99-030-029,Kyle Laughlin photograph collection,https://www.lib.uidaho.edu/digital/Laughlin/,Image;Stillimage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber014,pg_8-8253a.jpg,"Barnard-Stockbridge photograph collection, PG 8-1, University of Idaho Library Special Collections and Archives",Barnard Studio employees in flu masks,1918,,,A damaged negative of three employees wearing masks while working at the Barnard Stockbridge photo studio.,face masks; influenza; pandemics;fashion,"Wallace, Idaho",47.5198025,-115.9802965,PG 8-8253a,Barnard-Stockbridge photograph collection,https://www.lib.uidaho.edu/digital/barstock/,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,Don't Forget Your Mask,https://harvester.lib.uidaho.edu/posts/2020/08/18/dont-forget-your-mask.html
lumber015,pg99-px-610-01.jpg,"Kyle Laughlin photograph collection, PG 99, University of Idaho Library Special Collections and Archives",Dworshak Dam,1950,yes,,Photo of Dworshak Dam,dams;hydraulics;electricity;water;irrigation,Idaho,,,PG 99-PX-610-01,Kyle Laughlin photograph collection,https://www.lib.uidaho.edu/digital/Laughlin/,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber016,mg5768.jpg,"Collection on Woman Suffrage in Idaho, MG 5768, University of Idaho Library Special Collections and Archives",Joint Resolution No.2  [1],1895,,,"Joint Resolution No.2 that amended the Idaho State constitution, granting women the right to vote and pen used to sign it.",women's suffrage; women's rights; voting;women,,,,MG 5768,"Collection on Woman Suffrage in Idaho, 1895",https://archiveswest.orbiscascade.org/ark:/80444/xv74743/,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,100 Years of Women's Suffrage,https://harvester.lib.uidaho.edu/posts/2020/08/20/womens-suffrage.html
lumber017,mg5768_01.jpg,"Collection on Woman Suffrage in Idaho, MG 5768, University of Idaho Library Special Collections and Archives",Joint Resolution No.2  [2],1895,,,"Joint Resolution No.2 that amended the Idaho State constitution, granting women the right to vote and pen used to sign it.",women's suffrage; women's rights; voting;women,,,,MG 5768_01,"Collection on Woman Suffrage in Idaho, 1895",https://archiveswest.orbiscascade.org/ark:/80444/xv74743/,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,100 Years of Women's Suffrage,https://harvester.lib.uidaho.edu/posts/2020/08/20/womens-suffrage.html
lumber018,mg5768_02.jpg,"Collection on Woman Suffrage in Idaho, MG 5768, University of Idaho Library Special Collections and Archives",Joint Resolution No.2  [3],1895,,,"Joint Resolution No.2 that amended the Idaho State constitution, granting women the right to vote and pen used to sign it.",women's suffrage; women's rights; voting;women,,,,MG 5768_02,"Collection on Woman Suffrage in Idaho, 1895",https://archiveswest.orbiscascade.org/ark:/80444/xv74743/,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,100 Years of Women's Suffrage,https://harvester.lib.uidaho.edu/posts/2020/08/20/womens-suffrage.html
lumber019,mg5768_03.jpg,"Collection on Woman Suffrage in Idaho, MG 5768, University of Idaho Library Special Collections and Archives",Joint Resolution No.2  [4],1895,,,"Joint Resolution No.2 that amended the Idaho State constitution, granting women the right to vote and pen used to sign it.",women's suffrage; women's rights; voting;women,,,,MG 5768_03,"Collection on Woman Suffrage in Idaho, 1895",https://archiveswest.orbiscascade.org/ark:/80444/xv74743/,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,100 Years of Women's Suffrage,https://harvester.lib.uidaho.edu/posts/2020/08/20/womens-suffrage.html
lumber020,mg5768_04.jpg,"Collection on Woman Suffrage in Idaho, MG 5768, University of Idaho Library Special Collections and Archives",Joint Resolution No.2  [5],1895,,,"Joint Resolution No.2 that amended the Idaho State constitution, granting women the right to vote and pen used to sign it.",women's suffrage; women's rights; voting;women,,,,MG 5768_04,"Collection on Woman Suffrage in Idaho, 1895",https://archiveswest.orbiscascade.org/ark:/80444/xv74743/,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,100 Years of Women's Suffrage,https://harvester.lib.uidaho.edu/posts/2020/08/20/womens-suffrage.html
lumber023,pg1_86_full.jpg,"University of Idaho Campus photograph collection, PG 1, University of Idaho Library Special Collections and Archives",Sheep. University of Idaho. First imported Suffolks. [204c-14],1920,,,1920 photograph of sheep on the University of Idaho campus. Three sheep in foreground. Donor: W. C. Noggle.,sheep,,46.728882,-117.02397,PG 1_204c-14,,,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,Did Ewe Know?,https://harvester.lib.uidaho.edu/posts/2020/08/19/did-ewe-know.html
lumber024,3-0006f.jpg,"University of Idaho Portrait collection, PG 3, University of Idaho Library Special Collections and Archives",Permeal J. French,1950,yes,,"A photograph of Permeal Jane French, Dean of Women at the University of Idaho, 1908-1936.",women;deans;,,,,PG 3-0006f,,,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,100 Years of Women's Suffrage,https://harvester.lib.uidaho.edu/posts/2020/08/20/womens-suffrage.html
lumber025,69-427.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Volleyball Team,1931,yes,,Members of women's volleyball team standing together for group photo.,recreation;women;,"Moscow, Idaho",,,UG 69-427,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Volleyball,https://harvester.lib.uidaho.edu/posts/2020/08/05/womens-recreation-wednesday-volleyball.html
lumber026,69-428.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Women's volleyball game [1],1934,yes,,Volleyball team at the ready.,recreation;women;,"Moscow, Idaho",,,UG 69-428,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Volleyball,https://harvester.lib.uidaho.edu/posts/2020/08/05/womens-recreation-wednesday-volleyball.html
lumber027,69-431.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Women's volleyball game [2],undated,,,Team member jumping for the ball.,recreation;women;,"Moscow, Idaho",,,UG 69-431,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Volleyball,https://harvester.lib.uidaho.edu/posts/2020/08/05/womens-recreation-wednesday-volleyball.html
lumber028,69-432.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Women's volleyball game [3],undated,,,Team member jumping for the ball.,recreation;women;,"Moscow, Idaho",,,UG 69-432,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Volleyball,https://harvester.lib.uidaho.edu/posts/2020/08/05/womens-recreation-wednesday-volleyball.html
lumber029,69-454.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Co-recreational volleyball game,1966,yes,,Players jump for a volleyball in play.,recreation;women;,"Moscow, Idaho",,,UG 69-454,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Volleyball,https://harvester.lib.uidaho.edu/posts/2020/08/05/womens-recreation-wednesday-volleyball.html
lumber030,69-490.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Women's volleyball game [4],1965,yes,,Players jump for a volleyball in play.,recreation;women;,"Moscow, Idaho",,,UG 69-490,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Volleyball,https://harvester.lib.uidaho.edu/posts/2020/08/05/womens-recreation-wednesday-volleyball.html
lumber031,69-416.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Woman shot putting,undated,,,"A woman participates in shot put, a track and field event.",recreation;women;,"Moscow, Idaho",,,UG 69-416,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Track and Field,https://harvester.lib.uidaho.edu/posts/2020/07/29/womens-recreation-wednesday-track-and-field.html
lumber032,69-405.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Woman doing high jump,1965,yes,,"A woman participates in the high jump, a track and field event.",recreation;women;,"Moscow, Idaho",,,UG 69-405,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Track and Field,https://harvester.lib.uidaho.edu/posts/2020/07/29/womens-recreation-wednesday-track-and-field.html
lumber033,69-387.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Woman doing long jump,1961,yes,,"A woman participates in long jump, a track and field event.",recreation;women;,"Moscow, Idaho",,,UG 69-387,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Track and Field,https://harvester.lib.uidaho.edu/posts/2020/07/29/womens-recreation-wednesday-track-and-field.html
lumber034,69-366.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Woman during relay,1965,yes,,A woman running with a relay baton.,recreation;women;,"Moscow, Idaho",,,UG 69-366,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Track and Field,https://harvester.lib.uidaho.edu/posts/2020/07/29/womens-recreation-wednesday-track-and-field.html
lumber035,69-343.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Mary Jo Powers (Tracy),1962,yes,,Mary Jo Powers (Tracy) crossing finish line with relay baton in hand,recreation;women;,"Moscow, Idaho",,,UG 69-343,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Track and Field,https://harvester.lib.uidaho.edu/posts/2020/07/29/womens-recreation-wednesday-track-and-field.html
lumber036,69-333.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Women before race,1960,,,Women lined up at the start line for running.,recreation;women;,"Moscow, Idaho",,,UG 69-333,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Track and Field,https://harvester.lib.uidaho.edu/posts/2020/07/29/womens-recreation-wednesday-track-and-field.html
lumber037,69-423.jpg,"University of Idaho Women's Recreation Association photographs, UG 69, University of Idaho Library Special Collections and Archives",Donna Olson,1965,yes,,Donna Olson throwing javelin.,recreation;women;,"Moscow, Idaho",,,UG 69-423,"University of Idaho Women's Recreation Association photographs, 1920s-1970s",https://archiveswest.orbiscascade.org/ark:/80444/xv152953/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Women's Recreation Wednesday - Track and Field,https://harvester.lib.uidaho.edu/posts/2020/07/29/womens-recreation-wednesday-track-and-field.html
